Downstream distance,Drainage_Area,DEM_VOURAIKOS,Erosional efficiency
41570.17188,238643925,18.32146454,2.10E-11
41565.17188,238643700,18.41727829,2.10E-11
41560.17188,238643500,18.51309204,2.10E-11
41553.10081,238643275,18.51309204,2.10E-11
41548.10081,238643150,18.52870941,2.10E-11
41541.02974,238637325,18.60269928,2.10E-11
41536.02974,238637175,18.76036453,2.10E-11
41531.02974,238636725,18.94178772,2.10E-11
41523.95868,238636625,19.12321091,2.10E-11
41518.95868,238633325,19.19555664,2.10E-11
41513.95868,238631825,19.25249672,2.10E-11
41506.88761,238629375,19.33346939,2.10E-11
41501.88761,238626575,19.39628983,2.10E-11
41496.88761,238626550,19.47164726,2.10E-11
41491.88761,238626525,19.54700661,2.10E-11
41486.88761,238624700,19.71345329,2.10E-11
41479.81654,238624350,20.18461227,2.10E-11
41472.74547,238624325,20.50862885,2.10E-11
41465.67441,238624300,20.59114647,2.10E-11
41460.67441,238624275,20.66649818,2.10E-11
41453.60334,238624000,20.78429031,2.10E-11
41448.60334,238623300,20.85150909,2.10E-11
41441.53226,238623225,20.93784714,2.10E-11
41434.46119,238623000,20.98206329,2.10E-11
41429.46119,238622300,21.01837158,2.10E-11
41424.46119,238621250,21.05467987,2.10E-11
41419.46119,238620775,21.10878563,2.10E-11
41412.39011,238619600,21.16790962,2.10E-11
41405.31904,238615250,21.42426682,2.10E-11
41398.24796,238615225,21.66223907,2.10E-11
41393.24796,238613600,21.86782837,2.10E-11
41386.17688,238613550,22.39855385,2.10E-11
41381.17688,238612850,22.90258408,2.10E-11
41374.10581,238612825,23.45571327,2.10E-11
41369.10581,238612800,25.21805191,2.10E-11
41364.10581,238612775,27.68026733,2.10E-11
41359.10581,238612750,28.71378136,2.10E-11
41352.03473,238612725,28.79444504,2.10E-11
41344.96366,238612700,28.84057426,2.10E-11
41339.96366,238612625,28.86908531,2.10E-11
41332.89258,238612575,28.86908531,2.10E-11
41325.82151,238610325,28.86908531,2.10E-11
41318.75043,238609150,28.86908531,2.10E-11
41311.67936,238608425,28.86908531,2.10E-11
41306.67936,238608325,28.86908531,2.10E-11
41299.60828,238607550,28.86908531,2.10E-11
41292.53721,238599650,28.86908531,2.10E-11
41287.53721,238599550,28.86908531,2.10E-11
41280.46613,238597500,28.86908531,2.10E-11
41273.39506,238595275,28.86908531,2.10E-11
41266.32398,238591725,28.86908531,2.10E-11
41259.2529,238589275,28.86908531,2.10E-11
41252.18183,238587150,28.86908531,2.10E-11
41245.11075,238582425,28.86908531,2.10E-11
41238.03968,238574175,28.86908531,2.10E-11
41230.9686,238571725,28.86908531,2.10E-11
41223.89753,238476925,28.86908531,2.10E-11
41216.82645,238470725,28.86908531,2.10E-11
41209.75538,238467650,28.86908531,2.10E-11
41202.6843,238465225,28.86908531,2.10E-11
41195.61323,238109675,28.86908531,2.10E-11
41188.54215,238107950,28.86908531,2.10E-11
41181.47107,238107325,28.86908531,2.10E-11
41174.4,238106125,28.86908531,2.10E-11
41167.32892,238105325,28.86908531,2.10E-11
41160.25785,238104575,28.86908531,2.10E-11
41153.18677,238103125,28.86908531,2.10E-11
41146.1157,238102575,28.86908531,2.10E-11
41139.04462,238102150,28.86908531,2.10E-11
41131.97355,238101500,28.86908531,2.10E-11
41124.90247,238096050,28.86908531,2.10E-11
41117.8314,238095725,28.86908531,2.10E-11
41110.76032,238095425,28.86908531,2.10E-11
41103.68924,238094900,28.86908531,2.10E-11
41096.61817,238094475,28.86908531,2.10E-11
41089.54709,238093800,28.86908531,2.10E-11
41082.47602,238092925,28.86908531,2.10E-11
41075.40494,238092075,28.86908531,2.10E-11
41068.33387,238090475,28.86908531,2.10E-11
41061.26279,238088875,28.86908531,2.10E-11
41056.26282,238085250,28.86908531,2.10E-11
41051.26282,238085225,28.86908531,2.10E-11
41046.26282,238085200,28.86908531,2.10E-11
41041.26282,238085175,28.86908531,2.10E-11
41036.26282,238085150,28.86908531,2.10E-11
41031.26282,238085125,28.86908531,2.10E-11
41026.26282,238085100,28.86908531,2.10E-11
41021.26282,238085075,28.86908531,2.10E-11
41016.26282,238085050,28.86908531,2.10E-11
41011.26282,238085025,28.86908531,2.10E-11
41006.26282,238085000,28.86908531,2.10E-11
41001.26282,238084950,28.86908531,2.10E-11
